instance_id,scenario_id,n,method_name,feasible,cpu_time_seconds,error,objective,priority_tardiness_cost,high_priority_tardiness,max_high_priority_tardiness,p90_high_priority_tardiness,drone_served_customers,drone_share,truck_travel_cost,drone_travel_cost,waiting_sync_cost,truck_route_distance_km,drone_flight_distance_km,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,eligible_not_assigned_due_battery,makespan_minutes,number_of_drone_launches,number_of_drone_retrievals
S0003_R03,S0003,15,truck_only,True,0.0380613804,,353.7541272126,173.4889603747,161.1317125854,111.2723885647,95.6614580972,0,0.0,180.265166838,0.0,0.0,225.3314585475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.7939134874,0.0,0.0
S0003_R03,S0003,15,nils,True,1.3276724815,,184.7351338656,18.6277648316,18.6277648316,11.049548827,10.3552822625,3,0.2,151.944996975,14.162372059,0.0,189.9312462188,47.2079068633,0.0,0.0,0.0,0.0,0.8516505154,0.8516505154,0.0,0.0,129.4438165944,1.0,1.0
S0003_R03,S0003,15,feasibility_aware_alns,True,4.8125510216,,249.6965236283,88.0181975132,88.0181975132,43.6846989275,41.5913063875,3,0.2,147.5913750232,14.0869510918,0.0,184.489218779,46.9565036394,0.0,0.0,0.0,0.0,0.8864802336,0.8864802336,0.0,0.0,165.334761874,1.0,1.0
S0003_R04,S0003,15,truck_only,True,0.020860672,,1143.7795894737,950.8083945809,427.6038771591,191.2072138148,178.68907777,0,0.0,192.9711948929,0.0,0.0,241.2139936161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.3060223117,0.0,0.0
S0003_R04,S0003,15,nils,True,0.5175225735,,175.8400682827,57.0941131965,57.0941131965,32.1916044388,30.0048757345,3,0.2,107.6075345933,11.1384204928,0.0,134.5094182417,37.1280683095,0.0,0.0,0.0,0.0,0.6788320107,0.6788320107,0.0,0.0,167.5004194251,1.0,1.0
S0003_R04,S0003,15,feasibility_aware_alns,True,10.0105485916,,166.937235695,47.0290634631,47.0290634631,27.2112057029,24.9932013201,3,0.2,108.7697517391,11.1384204928,0.0,135.9621896739,37.1280683095,0.0,0.0,0.0,0.0,0.670973073,0.670973073,0.0,0.0,170.2635372283,1.0,1.0
S0003_R05,S0003,15,truck_only,True,0.0093622208,,324.1223794119,165.2828792921,156.6432075423,67.974104066,58.6736505663,0,0.0,158.8395001198,0.0,0.0,198.5493751498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.9793385985,0.0,0.0
S0003_R05,S0003,15,nils,True,0.5873684883,,206.863345266,54.6063402106,54.6063402106,26.6871448543,21.6432185511,2,0.1333333333,139.5690993706,12.6879056848,0.0,174.4613742132,42.2930189493,0.0,0.0,0.0,0.0,0.8468839762,0.8468839762,0.0,0.0,132.037217031,1.0,1.0
S0003_R05,S0003,15,feasibility_aware_alns,True,10.0180430412,,210.9944908304,72.9385175855,72.9385175855,36.3575761171,31.3136498139,2,0.1333333333,125.3680675601,12.6879056848,0.0,156.7100844501,42.2930189493,0.0,0.0,0.0,0.0,0.8468839762,0.8468839762,0.0,0.0,141.7076482937,1.0,1.0
S0003_R06,S0003,15,truck_only,True,0.0122463703,,207.2575476039,71.6606631733,71.6606631733,68.4611732029,61.9350048797,0,0.0,135.5968844305,0.0,0.0,169.4961055382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.8357031328,0.0,0.0
