rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.05,0.375,2.050658922044804,1124.2794971918408,1124.421817163598,0.1423199717571606,0.012658771427624452,"[0.0,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223954, 0.0, 96.98202567760467]",1.9843506802675792,0.06630824177722472,713,1,2,2,True,True,False,0.42000000000000004
0.05,0.4,2.187369516847791,1121.899848445411,1123.968328930035,2.0684804846241605,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223978, 0.0, 96.98202567760224]",2.1163406877715145,0.07102882907627661,865,1,1,4,True,True,False,0.42000000000000004
0.05,0.42,2.2967379926901805,1121.899848445411,1123.968328930035,2.0684804846241605,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223978, 0.0, 96.98202567760224]",2.1163406877715145,0.180397304918666,996,1,1,5,True,True,False,0.42000000000000004
0.05,0.425,2.324080111650778,1121.899848445411,1123.8283712288326,1.928522783421613,0.17189794490960308,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223978, 0.0, 96.98202567760224]",2.1163406877715145,0.20773942387926336,1024,1,1,6,True,True,False,0.42000000000000004
0.05,0.45,2.4607907064537646,1121.4462908494274,1121.7574698392466,0.3111789898191546,0.027748006512505866,"[0.25,1.0,1.0,0.0,0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760298]",2.433876179039114,0.026914527414650724,1200,1,3,9,True,True,False,0.42000000000000004
0.05,0.475,2.5975013012567514,1119.8194106897863,1121.4462908494274,1.6268801596411322,0.1452805822180745,"[0.5,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223961, 0.0, 96.9820256776039]",2.489183711956273,0.10831758930047819,1378,1,1,12,True,True,False,0.42000000000000004
0.05,0.5,2.7342118960597386,1119.6769836960038,1119.8194106897863,0.1424269937824647,0.012720364520874543,"[0.5,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760292]",2.7300367286370957,0.0041751674226429,1563,1,2,18,True,True,False,0.42000000000000004
0.05,0.525,2.8709224908627258,1118.1805038967236,1119.3658093565014,1.1853054597777373,0.106003051890736,"[0.75,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760326]",2.862026736141032,0.008895754721693905,1747,1,1,17,True,True,False,0.42000000000000004
0.05,0.55,3.0076330856657125,1118.1805038967236,1119.3658093565014,1.1853054597777373,0.106003051890736,"[0.75,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223968, 0.0, 96.98202567760326]",2.862026736141032,0.14560634952468066,1925,1,1,21,True,True,False,0.42000000000000004
0.05,0.575,3.1443436804686993,1118.0380387621135,1118.1805038967236,0.14246513461012,0.012742422857799788,"[0.75,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.98202567760363]",3.1028797528218544,0.04146392764684492,2101,1,3,28,True,True,False,0.42000000000000004
